id,doi,title,display_name,relevance_score,publication_year,publication_date,language,type,type_crossref,indexed_in,institution_assertions,countries_distinct_count,institutions_distinct_count,corresponding_author_ids,corresponding_institution_ids,apc_list,apc_paid,fwci,has_fulltext,fulltext_origin,cited_by_count,is_retracted,is_paratext,keywords,mesh,locations_count,grants,datasets,versions,referenced_works_count,referenced_works,related_works,cited_by_api_url,counts_by_year,updated_date,created_date,ids.openalex,ids.doi,primary_location.is_oa,primary_location.landing_page_url,primary_location.pdf_url,primary_location.source.id,primary_location.source.display_name,primary_location.source.issn_l,primary_location.source.issn,primary_location.source.is_oa,primary_location.source.is_in_doaj,primary_location.source.is_indexed_in_scopus,primary_location.source.is_core,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.host_organization_lineage,primary_location.source.host_organization_lineage_names,primary_location.source.type,primary_location.license,primary_location.license_id,primary_location.version,primary_location.is_accepted,primary_location.is_published,open_access.is_oa,open_access.oa_status,open_access.oa_url,open_access.any_repository_has_fulltext,citation_normalized_percentile.value,citation_normalized_percentile.is_in_top_1_percent,citation_normalized_percentile.is_in_top_10_percent,cited_by_percentile_year.min,cited_by_percentile_year.max,biblio.volume,biblio.issue,biblio.first_page,biblio.last_page,primary_topic.id,primary_topic.display_name,primary_topic.score,primary_topic.subfield.id,primary_topic.subfield.display_name,primary_topic.field.id,primary_topic.field.display_name,primary_topic.domain.id,primary_topic.domain.display_name,best_oa_location.is_oa,best_oa_location.landing_page_url,best_oa_location.pdf_url,best_oa_location.source.id,best_oa_location.source.display_name,best_oa_location.source.issn_l,best_oa_location.source.issn,best_oa_location.source.is_oa,best_oa_location.source.is_in_doaj,best_oa_location.source.is_indexed_in_scopus,best_oa_location.source.is_core,best_oa_location.source.host_organization,best_oa_location.source.host_organization_name,best_oa_location.source.host_organization_lineage,best_oa_location.source.host_organization_lineage_names,best_oa_location.source.type,best_oa_location.license,best_oa_location.license_id,best_oa_location.version,best_oa_location.is_accepted,best_oa_location.is_published,ids.mag,best_oa_location,abstract,authorships.author_position,authorships.institutions,authorships.countries,authorships.is_corresponding,authorships.raw_author_name,authorships.raw_affiliation_strings,authorships.affiliations,authorships.author.id,authorships.author.display_name,authorships.author.orcid,topics.id,topics.display_name,topics.score,topics.subfield.id,topics.subfield.display_name,topics.field.id,topics.field.display_name,topics.domain.id,topics.domain.display_name,concepts.id,concepts.wikidata,concepts.display_name,concepts.level,concepts.score,locations.is_oa,locations.landing_page_url,locations.pdf_url,locations.license,locations.license_id,locations.version,locations.is_accepted,locations.is_published,locations.source.id,locations.source.display_name,locations.source.issn_l,locations.source.issn,locations.source.is_oa,locations.source.is_in_doaj,locations.source.is_indexed_in_scopus,locations.source.is_core,locations.source.host_organization,locations.source.host_organization_name,locations.source.host_organization_lineage,locations.source.host_organization_lineage_names,locations.source.type,sustainable_development_goals.id,sustainable_development_goals.display_name,sustainable_development_goals.score
https://openalex.org/W4392639045,https://doi.org/10.56083/rcv4n3-077,USO SUGESTIVO DE VETORES TECNOLÓGICOS PARA MAPEAMENTO DA EXPANSÃO DE ATIVIDADE AGRÍCOLA E MORTANDADE DE ESPÉCIES NESTAS ÁREAS,USO SUGESTIVO DE VETORES TECNOLÓGICOS PARA MAPEAMENTO DA EXPANSÃO DE ATIVIDADE AGRÍCOLA E MORTANDADE DE ESPÉCIES NESTAS ÁREAS,15.244345,2024,2024-03-11,pt,article,journal-article,crossref,,1,2,https://openalex.org/A5104255620,https://openalex.org/I68106152|https://openalex.org/I3129565396,,,0.0,True,pdf,0,False,False,,,1,,,,2,https://openalex.org/W2034241153|https://openalex.org/W2794372844,https://openalex.org/W4387497383|https://openalex.org/W3183948672|https://openalex.org/W3173606202|https://openalex.org/W3110381201|https://openalex.org/W2948807893|https://openalex.org/W2935909890|https://openalex.org/W2778153218|https://openalex.org/W2758277628|https://openalex.org/W2748952813|https://openalex.org/W1531601525,https://api.openalex.org/works?filter=cites:W4392639045,,2025-09-01T10:51:54.761865,2024-03-12,https://openalex.org/W4392639045,https://doi.org/10.56083/rcv4n3-077,True,https://doi.org/10.56083/rcv4n3-077,https://ojs.revistacontemporanea.com/ojs/index.php/home/article/download/3583/2762,https://openalex.org/S4387280582,Revista Contemporânea,2447-0961,2447-0961|2764-7757,False,False,False,False,,,,,journal,cc-by-nc,https://openalex.org/licenses/cc-by-nc,publishedVersion,True,True,True,hybrid,https://ojs.revistacontemporanea.com/ojs/index.php/home/article/download/3583/2762,False,0.0,False,False,0,70,4,3,e3583,e3583,https://openalex.org/T12348,Rural Development and Agriculture,0.9358,https://openalex.org/subfields/2308,"Management, Monitoring, Policy and Law",https://openalex.org/fields/23,Environmental Science,https://openalex.org/domains/3,Physical Sciences,True,https://doi.org/10.56083/rcv4n3-077,https://ojs.revistacontemporanea.com/ojs/index.php/home/article/download/3583/2762,https://openalex.org/S4387280582,Revista Contemporânea,2447-0961,2447-0961|2764-7757,False,False,False,False,,,,,journal,cc-by-nc,https://openalex.org/licenses/cc-by-nc,publishedVersion,True,True,,,"O avanço da atividade agrícola e do agronegócio faz com que tenhamos impactos específicos na região em que ocorrem. Isso nos remete a reduções de áreas verdes, incidências significativas na vegetação nativa e em espécies da região. Como minimizar esses resultados sobre os organismos vivos da área aplicando-se a normatividade de proteção e devidos licenciamentos, buscando reduzir os fatores negativos a estas espécies? De modo comparativo (o que era custoso em apuração e predição) agora se tem o possível uso de vetores tecnológicos, aplicativos e inteligência artificial em busca de soluções para as questões em aberto. O objetivo do estudo é analisar usos similares destes vetores para que, demonstrando os impactos frente a espécies (algumas ameaçadas de extinção), haja a possibilidade dessa utilização para prever e combater tais resultados, podendo, assim, aplicar legislação que incida sobre essas atividades com as devidas regularizações e licenciamentos. Poderiam ser utilizadas formas de mapeamento de áreas de cultivo, acrescentando, ainda, dados de aplicativos que indiquem redução de espécies numa determinada localidade, assim, seria possível verificar locais de risco maior para as espécies. Existem estudos realizados a respeito de mapeamentos de áreas verdes/solo, área cultivada e avanço de ervas daninhas (feitos em cidade do interior de São Paulo), bem como, aplicativos alimentados por redes a níveis mundiais com mapeamento de redução de determinadas espécies, em uma localidade determinada. Com isso, seria possível a aplicação das regularizações e licenciamentos naquela situação, a partir do uso de dados para alimentar e treinar uma Inteligência Artificial escolhida (por exemplo, algum dos modelos de regressão, que seria uma das formas de previsão mais utilizada no meio estatístico, onde seria possível determinar o valor de algo a partir de dados anteriormente obtidos, possuindo como exemplos, o framework GAMLSS ou, ainda, a Regressão Logística Multinomial). O fato de existirem inúmeros organismos vivos numa determinada área de expansão de atividade agrícola demonstra a importância das formas de diminuir o resultado desse crescimento sobre o ecossistema ali presente, garantindo equilíbrio e segurança alimentar. O estudo se utilizará de uma abordagem qualitativa e método hipotético-dedutivo, em busca de possíveis formas de mapeamento de áreas de impacto resultante da atividade agrícola, assim, para que seja aplicada a normatividade existente.",first|last,"{'id': 'https://openalex.org/I68106152', 'display_name': 'Universidade Federal de Goiás', 'ror': 'https://ror.org/0039d5757', 'country_code': 'BR', 'type': 'funder', 'lineage': ['https://openalex.org/I68106152']}|{'id': 'https://openalex.org/I3129565396', 'display_name': 'Universidade Estadual de Goiás', 'ror': 'https://ror.org/03ta25k06', 'country_code': 'BR', 'type': 'education', 'lineage': ['https://openalex.org/I3129565396']}|{'id': 'https://openalex.org/I3129565396', 'display_name': 'Universidade Estadual de Goiás', 'ror': 'https://ror.org/03ta25k06', 'country_code': 'BR', 'type': 'education', 'lineage': ['https://openalex.org/I3129565396']}|{'id': 'https://openalex.org/I68106152', 'display_name': 'Universidade Federal de Goiás', 'ror': 'https://ror.org/0039d5757', 'country_code': 'BR', 'type': 'funder', 'lineage': ['https://openalex.org/I68106152']}",BR|BR,True|False,Sidimar Lopes da Silva Junior|Maria Goretti Dal Bosco," normatividade de proteção e devidos licenciamentos, buscando reduzir os fatores negativos a|Doutora em Direito Instituição: Universidade Federal de Goiás (UFG) Endereço: Br 153, Quadra Área, Km 99, Zona Rural, Anápolis-GO, CEP: 75132-903|Mestrando em Direito Agrário Instituição: Universidade Estadual de Goiás (UEG) Endereço: Br 153, Quadra Área, Km 99, Zona Rural, Anápolis-GO, CEP: 75132-903|de vetores tecnológicos, aplicativos e inteligência artificial em busca de soluções para as questões em aberto. O objetivo do|organismos vivos da área aplicando-se| normatividade de proteção e devidos licenciamentos, buscando reduzir os fatores negativos a|Doutora em Direito Instituição: Universidade Federal de Goiás (UFG) Endereço: Br 153, Quadra Área, Km 99, Zona Rural, Anápolis-GO, CEP: 75132-903|Mestrando em Direito Agrário Instituição: Universidade Estadual de Goiás (UEG) Endereço: Br 153, Quadra Área, Km 99, Zona Rural, Anápolis-GO, CEP: 75132-903|de vetores tecnológicos, aplicativos e inteligência artificial em busca de soluções para as questões em aberto. O objetivo do|organismos vivos da área aplicando-se","{'raw_affiliation_string': 'organismos vivos da área aplicando-se', 'institution_ids': []}|{'raw_affiliation_string': 'de vetores tecnológicos, aplicativos e inteligência artificial em busca de soluções para as questões em aberto. O objetivo do', 'institution_ids': []}|{'raw_affiliation_string': ' normatividade de proteção e devidos licenciamentos, buscando reduzir os fatores negativos a', 'institution_ids': []}|{'raw_affiliation_string': 'Doutora em Direito Instituição: Universidade Federal de Goiás (UFG) Endereço: Br 153, Quadra Área, Km 99, Zona Rural, Anápolis-GO, CEP: 75132-903', 'institution_ids': ['https://openalex.org/I68106152']}|{'raw_affiliation_string': 'Mestrando em Direito Agrário Instituição: Universidade Estadual de Goiás (UEG) Endereço: Br 153, Quadra Área, Km 99, Zona Rural, Anápolis-GO, CEP: 75132-903', 'institution_ids': ['https://openalex.org/I3129565396']}|{'raw_affiliation_string': 'Mestrando em Direito Agrário Instituição: Universidade Estadual de Goiás (UEG) Endereço: Br 153, Quadra Área, Km 99, Zona Rural, Anápolis-GO, CEP: 75132-903', 'institution_ids': ['https://openalex.org/I3129565396']}|{'raw_affiliation_string': 'organismos vivos da área aplicando-se', 'institution_ids': []}|{'raw_affiliation_string': 'de vetores tecnológicos, aplicativos e inteligência artificial em busca de soluções para as questões em aberto. O objetivo do', 'institution_ids': []}|{'raw_affiliation_string': ' normatividade de proteção e devidos licenciamentos, buscando reduzir os fatores negativos a', 'institution_ids': []}|{'raw_affiliation_string': 'Doutora em Direito Instituição: Universidade Federal de Goiás (UFG) Endereço: Br 153, Quadra Área, Km 99, Zona Rural, Anápolis-GO, CEP: 75132-903', 'institution_ids': ['https://openalex.org/I68106152']}",https://openalex.org/A5104255620|https://openalex.org/A5083851102,Sidimar Lopes da Silva|Maria Goretti Dal Bosco,None|https://orcid.org/0000-0002-0623-8189,https://openalex.org/T12348,Rural Development and Agriculture,0.9358,https://openalex.org/subfields/2308,"Management, Monitoring, Policy and Law",https://openalex.org/fields/23,Environmental Science,https://openalex.org/domains/3,Physical Sciences,https://openalex.org/C15708023|https://openalex.org/C86803240|https://openalex.org/C142362112,https://www.wikidata.org/wiki/Q80083|https://www.wikidata.org/wiki/Q420|https://www.wikidata.org/wiki/Q735,Humanities|Biology|Art,1|0|0,0.4844749|0.36794162|0.30666026,True,https://doi.org/10.56083/rcv4n3-077,https://ojs.revistacontemporanea.com/ojs/index.php/home/article/download/3583/2762,cc-by-nc,https://openalex.org/licenses/cc-by-nc,publishedVersion,True,True,https://openalex.org/S4387280582,Revista Contemporânea,2447-0961,2447-0961|2764-7757,False,False,False,False,None,None,,,journal,,,
https://openalex.org/W2946297680,https://doi.org/10.33871/19805071.2018.19.2.2433,"""CULTURAS DEGENERATIVAS"" : EXPERIMENTAÇÕES EM TORNO DE UMA REDE ""BIOHÍBRIDA""","""CULTURAS DEGENERATIVAS"" : EXPERIMENTAÇÕES EM TORNO DE UMA REDE ""BIOHÍBRIDA""",4.3692393,2018,2018-11-07,pt,article,journal-article,crossref,,1,1,,,,,0.0,True,pdf,0,False,False,,,1,,,,4,https://openalex.org/W1522319825|https://openalex.org/W1905084225|https://openalex.org/W2165341569|https://openalex.org/W4251426354,https://openalex.org/W4387497383|https://openalex.org/W3183948672|https://openalex.org/W3173606202|https://openalex.org/W3110381201|https://openalex.org/W2948807893|https://openalex.org/W2935909890|https://openalex.org/W2778153218|https://openalex.org/W2758277628|https://openalex.org/W2748952813|https://openalex.org/W1531601525,https://api.openalex.org/works?filter=cites:W2946297680,,2025-06-10T18:34:51.788948,2019-05-29,https://openalex.org/W2946297680,https://doi.org/10.33871/19805071.2018.19.2.2433,True,https://doi.org/10.33871/19805071.2018.19.2.2433,https://periodicos.unespar.edu.br/index.php/revistacientifica/article/download/2433/1634,https://openalex.org/S4387288351,Revista Cientí­fica/FAP,1679-4915,1679-4915|1980-5071,False,False,False,False,,,,,journal,,,publishedVersion,True,True,True,bronze,https://periodicos.unespar.edu.br/index.php/revistacientifica/article/download/2433/1634,False,0.0,False,False,0,61,19,2,,,https://openalex.org/T11079,Creativity in Education and Neuroscience,0.7459,https://openalex.org/subfields/3205,Experimental and Cognitive Psychology,https://openalex.org/fields/32,Psychology,https://openalex.org/domains/2,Social Sciences,True,https://doi.org/10.33871/19805071.2018.19.2.2433,https://periodicos.unespar.edu.br/index.php/revistacientifica/article/download/2433/1634,https://openalex.org/S4387288351,Revista Cientí­fica/FAP,1679-4915,1679-4915|1980-5071,False,False,False,False,,,,,journal,,,publishedVersion,True,True,2946297680,,"O presente ensaio discorre sobre a criação do projeto Culturas Degenerativas, introduzindo os percursos conceituais que conduziram o projeto em sua primeira apresentação na exposição Generative Art International Conference, em Ravena, Itália. As sociedades humanas têm sido responsáveis pela perda de informação dos sistemas naturais por meio da extinção de espécies, da devastação de florestas e das mudanças climáticas decorrentes da ação humana. Frente a este contexto, os artistas do coletivo Cesar &amp; Lois discutem os padrões entrópicos que estão conduzindo a humanidade à desinformação. A instalação resultante deste processo criativo estabelece um sistema ""biohí­brido"" autônomo, que conjugam organismos vivos e redes tecnológicas. Na instalação, livros são inoculados com microrganismos vivos que crescem sobre o texto. Os livros, que apresentam diferentes versões do impulso humano em controlar a natureza, são literalmente consumidos pelos microrganismos. Um fungo digital generativo, programado com algoritmos de Inteligência Artificial, procura e corrompe textos que ele encontra na internet com a mesma inclinação predatória. O resultado deste processo de degeneração é impresso pela instalação e publicado no Twitter. Sem pretensões necessariamente teóricas, o ensaio traz um relato das discussões que motivaram o trabalho, bem como faz uma apresentação contextualizada da obra.Palavras-chave: Arte e natureza. Antropoceno. Inteligência artificial. Arte generativa. Arte interativa",first|last,"{'id': 'https://openalex.org/I4210099287', 'display_name': 'Secretaria Regional do Ambiente e Recursos Naturais', 'ror': 'https://ror.org/010fb5010', 'country_code': 'PT', 'type': 'government', 'lineage': ['https://openalex.org/I4210099287']}|{'id': 'https://openalex.org/I4210099287', 'display_name': 'Secretaria Regional do Ambiente e Recursos Naturais', 'ror': 'https://ror.org/010fb5010', 'country_code': 'PT', 'type': 'government', 'lineage': ['https://openalex.org/I4210099287']}",PT|PT,False|False,Cesar Baio|Lucy HG Solomon,"algoritmos de Inteligência Artificial, procura e corrompe textos|informação dos sistemas naturais por meio da extinção de espécies, da devastação de florestas e das mudanças climáticas|introduzindo os percursos conceituais que conduziram o projeto em sua primeira apresentação na exposição Generative Art International Conference, em Ravena, Itália. As|presente ensaio discorre sobre a criação do projeto Culturas Degenerativas,|algoritmos de Inteligência Artificial, procura e corrompe textos|informação dos sistemas naturais por meio da extinção de espécies, da devastação de florestas e das mudanças climáticas|introduzindo os percursos conceituais que conduziram o projeto em sua primeira apresentação na exposição Generative Art International Conference, em Ravena, Itália. As|presente ensaio discorre sobre a criação do projeto Culturas Degenerativas,","{'raw_affiliation_string': 'introduzindo os percursos conceituais que conduziram o projeto em sua primeira apresentação na exposição Generative Art International Conference, em Ravena, Itália. As', 'institution_ids': []}|{'raw_affiliation_string': 'informação dos sistemas naturais por meio da extinção de espécies, da devastação de florestas e das mudanças climáticas', 'institution_ids': ['https://openalex.org/I4210099287']}|{'raw_affiliation_string': 'algoritmos de Inteligência Artificial, procura e corrompe textos', 'institution_ids': []}|{'raw_affiliation_string': 'presente ensaio discorre sobre a criação do projeto Culturas Degenerativas,', 'institution_ids': []}|{'raw_affiliation_string': 'presente ensaio discorre sobre a criação do projeto Culturas Degenerativas,', 'institution_ids': []}|{'raw_affiliation_string': 'introduzindo os percursos conceituais que conduziram o projeto em sua primeira apresentação na exposição Generative Art International Conference, em Ravena, Itália. As', 'institution_ids': []}|{'raw_affiliation_string': 'informação dos sistemas naturais por meio da extinção de espécies, da devastação de florestas e das mudanças climáticas', 'institution_ids': ['https://openalex.org/I4210099287']}|{'raw_affiliation_string': 'algoritmos de Inteligência Artificial, procura e corrompe textos', 'institution_ids': []}",https://openalex.org/A5036531064|https://openalex.org/A5029407432,Cesar Baio|Lucy HG Solomon,https://orcid.org/0000-0002-1174-3526|https://orcid.org/0000-0001-6369-9363,https://openalex.org/T11079|https://openalex.org/T13276|https://openalex.org/T14002,"Creativity in Education and Neuroscience|University-Industry-Government Innovation Models|Art, Technology, and Culture",0.7459|0.6821|0.6709,https://openalex.org/subfields/3205|https://openalex.org/subfields/1405|https://openalex.org/subfields/1213,Experimental and Cognitive Psychology|Management of Technology and Innovation|Visual Arts and Performing Arts,https://openalex.org/fields/32|https://openalex.org/fields/14|https://openalex.org/fields/12,"Psychology|Business, Management and Accounting|Arts and Humanities",https://openalex.org/domains/2|https://openalex.org/domains/2|https://openalex.org/domains/2,Social Sciences|Social Sciences|Social Sciences,https://openalex.org/C15708023|https://openalex.org/C138885662|https://openalex.org/C142362112,https://www.wikidata.org/wiki/Q80083|https://www.wikidata.org/wiki/Q5891|https://www.wikidata.org/wiki/Q735,Humanities|Philosophy|Art,1|0|0,0.7336753|0.48988384|0.3687322,True,https://doi.org/10.33871/19805071.2018.19.2.2433,https://periodicos.unespar.edu.br/index.php/revistacientifica/article/download/2433/1634,None,None,publishedVersion,True,True,https://openalex.org/S4387288351,Revista Cientí­fica/FAP,1679-4915,1679-4915|1980-5071,False,False,False,False,None,None,,,journal,https://metadata.un.org/sdg/15,Life on land,0.41
https://openalex.org/W4212834251,https://doi.org/10.20906/sbai.v1i1.2638,Sistema de Reconhecimento Automático de Pássaros da Fauna de Linhares - ES Utilizando Redes Neurais Convolucionais,Sistema de Reconhecimento Automático de Pássaros da Fauna de Linhares - ES Utilizando Redes Neurais Convolucionais,4.3370457,2021,2021-01-01,pt,article,proceedings-article,crossref,,2,2,,,,,0.0,False,,0,False,False,,,1,,,,0,,https://openalex.org/W54078636|https://openalex.org/W3148032049|https://openalex.org/W3105167352|https://openalex.org/W3084825885|https://openalex.org/W2954470139|https://openalex.org/W2935759653|https://openalex.org/W2902782467|https://openalex.org/W2298861036|https://openalex.org/W2271181815|https://openalex.org/W1501425562,https://api.openalex.org/works?filter=cites:W4212834251,,2025-03-30T11:37:19.331498,2022-02-24,https://openalex.org/W4212834251,https://doi.org/10.20906/sbai.v1i1.2638,False,https://doi.org/10.20906/sbai.v1i1.2638,,https://openalex.org/S4220650983,Anais do ... Simpósio Brasileiro de Automação Inteligente/Simpósio Brasileiro de Automação Inteligente,2175-8905,2175-8905|2358-4483,False,False,False,False,,,,,journal,,,,False,False,False,closed,,False,0.0,False,False,0,56,,,,,https://openalex.org/T14256,Agricultural and Food Sciences,0.7589,https://openalex.org/subfields/1107,Forestry,https://openalex.org/fields/11,Agricultural and Biological Sciences,https://openalex.org/domains/1,Life Sciences,,,,,,,,,,,,,,,,,,,,,,,,,first|last|first|last,"{'id': 'https://openalex.org/I1282368058', 'display_name': 'International Foundation for Electoral Systems', 'ror': 'https://ror.org/033esc660', 'country_code': 'US', 'type': 'nonprofit', 'lineage': ['https://openalex.org/I1282368058']}|{'id': 'https://openalex.org/I4210160371', 'display_name': 'Instituto Federal do Espírito Santo', 'ror': 'https://ror.org/05rshs160', 'country_code': 'BR', 'type': 'government', 'lineage': ['https://openalex.org/I4210160371']}|{'id': 'https://openalex.org/I1282368058', 'display_name': 'International Foundation for Electoral Systems', 'ror': 'https://ror.org/033esc660', 'country_code': 'US', 'type': 'nonprofit', 'lineage': ['https://openalex.org/I1282368058']}|{'id': 'https://openalex.org/I4210160371', 'display_name': 'Instituto Federal do Espírito Santo', 'ror': 'https://ror.org/05rshs160', 'country_code': 'BR', 'type': 'government', 'lineage': ['https://openalex.org/I4210160371']}|{'id': 'https://openalex.org/I1282368058', 'display_name': 'International Foundation for Electoral Systems', 'ror': 'https://ror.org/033esc660', 'country_code': 'US', 'type': 'nonprofit', 'lineage': ['https://openalex.org/I1282368058']}|{'id': 'https://openalex.org/I4210160371', 'display_name': 'Instituto Federal do Espírito Santo', 'ror': 'https://ror.org/05rshs160', 'country_code': 'BR', 'type': 'government', 'lineage': ['https://openalex.org/I4210160371']}|{'id': 'https://openalex.org/I1282368058', 'display_name': 'International Foundation for Electoral Systems', 'ror': 'https://ror.org/033esc660', 'country_code': 'US', 'type': 'nonprofit', 'lineage': ['https://openalex.org/I1282368058']}|{'id': 'https://openalex.org/I4210160371', 'display_name': 'Instituto Federal do Espírito Santo', 'ror': 'https://ror.org/05rshs160', 'country_code': 'BR', 'type': 'government', 'lineage': ['https://openalex.org/I4210160371']}",BR|US|BR|US|BR|US|BR|US,False|False|False|False,None Brenda Bayerl Pinheiro|None Lucas de Assis Soares|None Brenda Bayerl Pinheiro|None Lucas de Assis Soares,"Instituto Federal de Educac¸a~o, Cie^ncia e Tecnologia do Espírito Santo – IFES, Campus Linhares, ES|Instituto Federal de Educac¸a~o, Cie^ncia e Tecnologia do Espírito Santo – IFES, Campus Linhares, ES|Instituto Federal de Educac¸a~o, Cie^ncia e Tecnologia do Espírito Santo – IFES, Campus Linhares, ES|Instituto Federal de Educac¸a~o, Cie^ncia e Tecnologia do Espírito Santo – IFES, Campus Linhares, ES","{'raw_affiliation_string': 'Instituto Federal de Educac¸a~o, Cie^ncia e Tecnologia do Espírito Santo – IFES, Campus Linhares, ES', 'institution_ids': ['https://openalex.org/I1282368058', 'https://openalex.org/I4210160371']}|{'raw_affiliation_string': 'Instituto Federal de Educac¸a~o, Cie^ncia e Tecnologia do Espírito Santo – IFES, Campus Linhares, ES', 'institution_ids': ['https://openalex.org/I1282368058', 'https://openalex.org/I4210160371']}|{'raw_affiliation_string': 'Instituto Federal de Educac¸a~o, Cie^ncia e Tecnologia do Espírito Santo – IFES, Campus Linhares, ES', 'institution_ids': ['https://openalex.org/I1282368058', 'https://openalex.org/I4210160371']}|{'raw_affiliation_string': 'Instituto Federal de Educac¸a~o, Cie^ncia e Tecnologia do Espírito Santo – IFES, Campus Linhares, ES', 'institution_ids': ['https://openalex.org/I1282368058', 'https://openalex.org/I4210160371']}",https://openalex.org/A5088694938|https://openalex.org/A5011470182|https://openalex.org/A5088694938|https://openalex.org/A5011470182,Brenda Bayerl Pinheiro|Lucas de Assis Soares|Brenda Bayerl Pinheiro|Lucas de Assis Soares,None|https://orcid.org/0000-0002-1318-4377|None|https://orcid.org/0000-0002-1318-4377,https://openalex.org/T14256|https://openalex.org/T14256,Agricultural and Food Sciences|Agricultural and Food Sciences,0.7589|0.7589,https://openalex.org/subfields/1107|https://openalex.org/subfields/1107,Forestry|Forestry,https://openalex.org/fields/11|https://openalex.org/fields/11,Agricultural and Biological Sciences|Agricultural and Biological Sciences,https://openalex.org/domains/1|https://openalex.org/domains/1,Life Sciences|Life Sciences,https://openalex.org/C15708023|https://openalex.org/C121332964|https://openalex.org/C142362112|https://openalex.org/C15708023|https://openalex.org/C121332964|https://openalex.org/C142362112,https://www.wikidata.org/wiki/Q80083|https://www.wikidata.org/wiki/Q413|https://www.wikidata.org/wiki/Q735|https://www.wikidata.org/wiki/Q80083|https://www.wikidata.org/wiki/Q413|https://www.wikidata.org/wiki/Q735,Humanities|Physics|Art|Humanities|Physics|Art,1|0|0|1|0|0,0.6252068|0.6127449|0.1674495|0.6252068|0.6127449|0.1674495,False|False,https://doi.org/10.20906/sbai.v1i1.2638|https://doi.org/10.20906/sbai.v1i1.2638,None|None,None|None,None|None,None|None,False|False,False|False,https://openalex.org/S4220650983|https://openalex.org/S4220650983,Anais do ... Simpósio Brasileiro de Automação Inteligente/Simpósio Brasileiro de Automação Inteligente|Anais do ... Simpósio Brasileiro de Automação Inteligente/Simpósio Brasileiro de Automação Inteligente,2175-8905|2175-8905,2175-8905|2358-4483|2175-8905|2358-4483,False|False,False|False,False|False,False|False,None|None,None|None,|,|,journal|journal,,,
